coll_nom,coll_siret,nature de la plage,plage en régie,COLL_NOM,COLL_SIRET,NOM,STATUT,REGIE,NUMERO_VOIE,NOM_VOIE,CODE_POSTAL,LIEU,ACCES_HANDICAP,LABEL_ HANDIPLAGE,EQUIPEMENTS,KIOSQUE VENTE A EMPORTER,INTERNET,DAT_DER_MAJ,last_modified,datagouv_resource_id,Geo Point,Geo Shape,Code Officiel Région,Code Officiel Département,Code Officiel Commune / Arrondissement Municipal,Code Officiel IRIS,Année,Type,Qualité du géocodage,Description,Catégorie,Nom Officiel Région,Nom Officiel Département,Nom Officiel EPCI,Nom Officiel Commune / Arrondissement Municipal,Code Iso 3166-3 Zone,Code Officiel EPCI
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0474106357,1.41909641899","{""type"": ""MultiPoint"", ""coordinates"": [[1.419096418993161, 50.04741063565604]]}",28,76,76255,762550101,2019,A501,Bonne,Coiffure,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0438325264,1.42229416802","{""type"": ""MultiPoint"", ""coordinates"": [[1.422294168015229, 50.04383252635823]]}",28,76,76255,762550101,2019,D235,Bonne,Orthophoniste,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0480578911,1.41898547231","{""type"": ""MultiPoint"", ""coordinates"": [[1.418985472312803, 50.04805789109953]]}",28,76,76255,762550101,2019,D301,Bonne,Pharmacie,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0530612131,1.41813462597","{""type"": ""MultiPoint"", ""coordinates"": [[1.418134625974146, 50.053061213075196]]}",28,76,76255,762550103,2019,D242,Bonne,Diététicien,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0478232293,1.42035715048","{""type"": ""MultiPoint"", ""coordinates"": [[1.420357150480599, 50.04782322931217]]}",28,76,76255,762550101,2019,A203,Bonne,Banque-Caisse d'épargne,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0553965005,1.42324750968","{""type"": ""MultiPoint"", ""coordinates"": [[1.423247509676398, 50.055396500511215]]}",28,76,76255,762550103,2019,B302,Bonne,Magasin de vêtements,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0534952985,1.41592977152","{""type"": ""MultiPoint"", ""coordinates"": [[1.415929771523872, 50.05349529854273]]}",28,76,76255,762550103,2019,D236,Mauvaise,Orthoptiste,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0504899222,1.41986199575","{""type"": ""MultiPoint"", ""coordinates"": [[1.419861995746896, 50.050489922240054]]}",28,76,76255,762550101,2019,A206,Bonne,Bureau de poste,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0445150392,1.4188530533","{""type"": ""MultiPoint"", ""coordinates"": [[1.418853053301515, 50.04451503918257]]}",28,76,76255,762550101,2019,A505,Bonne,Agence immobilière,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.055269909,1.41114999967","{""type"": ""MultiPoint"", ""coordinates"": [[1.411149999670545, 50.055269909017035]]}",28,76,76255,762550101,2019,F113,Bonne,Terrains de grands jeux,"Sports, loisirs et culture",Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
